"t20_1" "t20_2" "t20_3" "t20_4" "t20_5" "t20_6" "t20_7" "t20_8" "t20_9" "t20_10" "t20_11" "TMS" "MEAN" "SD"
"1" NA 41 65 35 50 50 66 39 34 55 40 2012-01-01 00:00:00 47.5 11.6738073385583
"2" 27 40 65 38 50 47 66 37 32 54 39 2012-01-01 01:00:00 46.8 11.8396696650615
"3" 23 39 65 38 47 47 67 39 31 52 36 2012-01-01 02:00:00 46.1 12.1422128680621
"4" 25 39 65 35 45 46 67 37 29 53 36 2012-01-01 03:00:00 45.2 12.8478273130778
"5" 23 40 65 35 45 43 68 37 28 52 34 2012-01-01 04:00:00 44.7 13.2501572317715
"6" 25 39 64 32 43 40 68 38 28 50 32 2012-01-01 05:00:00 43.4 13.4594039821812
"7" 25 39 63 31 41 38 68 37 27 49 30 2012-01-01 06:00:00 42.3 13.7683211273803
"8" 25 38 61 34 44 36 68 45 26 48 30 2012-01-01 07:00:00 43 13.29995822884
"9" 28 37 61 34 47 35 69 47 27 47 34 2012-01-01 08:00:00 43.8 13.16392376493
"10" 30 37 63 43 51 45 71 50 30 47 39 2012-01-01 09:00:00 47.6 12.1399249494294
"11" 34 39 62 51 56 52 68 56 33 48 43 2012-01-01 10:00:00 50.8 10.5493549039213
"12" 37 43 60 57 61 55 66 61 36 48 45 2012-01-01 11:00:00 53.2 9.68159766429763
"13" 37 45 64 58 63 58 68 64 37 48 46 2012-01-01 12:00:00 55.1 10.3650052259192
"14" 41 45 67 61 67 60 70 64 39 48 47 2012-01-01 13:00:00 56.8 11.0131234846836
"15" 41 46 68 62 68 61 72 63 40 47 47 2012-01-01 14:00:00 57.4 11.3156725140154
"16" 41 47 70 62 70 62 72 62 42 46 47 2012-01-01 15:00:00 58 11.4212277993412
"17" 41 44 64 60 69 61 69 59 42 46 47 2012-01-01 16:00:00 56.1 10.397114984456
"18" 39 41 59 52 65 57 68 55 39 46 44 2012-01-01 17:00:00 52.6 9.96884034267666
"19" 36 38 59 49 57 51 63 51 35 45 41 2012-01-01 18:00:00 48.9 9.21894185299424
"20" 34 35 57 45 53 43 61 49 29 44 37 2012-01-01 19:00:00 45.3 10.0227518953407
"21" 34 34 56 45 51 41 61 45 29 42 36 2012-01-01 20:00:00 44 9.92191737742481
"22" 34 32 55 39 49 39 60 43 28 39 38 2012-01-01 21:00:00 42.2 9.897249898611
"23" 32 30 55 36 47 38 57 41 27 38 37 2012-01-01 22:00:00 40.6 9.78888258292142
"24" 32 29 54 36 46 37 56 39 29 39 33 2012-01-01 23:00:00 39.8 9.46103118645695
"25" 36 30 53 34 46 38 54 39 30 38 32 2012-01-02 00:00:00 39.4 8.85939551486945
"26" 36 30 52 33 44 40 53 37 29 36 30 2012-01-02 01:00:00 38.4 8.8090862182181
"27" 27 30 52 32 44 41 52 34 29 34 32 2012-01-02 02:00:00 38 8.73053390247253
"28" 27 30 52 34 42 43 50 33 28 33 30 2012-01-02 03:00:00 37.5 8.64420165325996
"29" 27 30 49 34 42 46 48 33 29 31 30 2012-01-02 04:00:00 37.2 8.12130257751523
"30" 27 30 48 33 43 47 47 30 27 29 29 2012-01-02 05:00:00 36.3 8.78192588343936
"31" 30 30 46 35 42 51 46 30 27 28 29 2012-01-02 06:00:00 36.4 8.98393628155894
"32" 32 29 48 36 42 49 44 30 27 27 29 2012-01-02 07:00:00 36.1 8.87505868525198
"33" 28 29 48 37 43 50 45 30 30 28 33 2012-01-02 08:00:00 37.3 8.48593607748203
"34" 32 32 50 48 49 53 47 33 39 30 38 2012-01-02 09:00:00 41.9 8.46496045800307
"35" 36 33 52 56 55 53 50 34 52 31 41 2012-01-02 10:00:00 45.7 9.88882646671934
"36" 37 34 55 59 62 55 53 34 59 33 44 2012-01-02 11:00:00 48.8 11.4871909340602
"37" 39 36 57 61 67 61 54 34 60 34 45 2012-01-02 12:00:00 50.9 12.5649424104441
"38" 41 37 62 65 68 63 56 35 61 35 47 2012-01-02 13:00:00 52.9 13.1778433575284
"39" 41 37 63 67 69 64 56 36 61 35 48 2012-01-02 14:00:00 53.6 13.4841470706242
"40" 41 37 61 67 70 65 57 36 62 35 49 2012-01-02 15:00:00 53.9 13.6092288948019
"41" 39 37 61 65 69 64 56 34 62 34 47 2012-01-02 16:00:00 52.9 13.6987428458073
"42" 37 35 55 60 62 63 53 32 61 32 43 2012-01-02 17:00:00 49.6 12.8599291513514
"43" 32 34 52 58 60 63 50 30 60 31 39 2012-01-02 18:00:00 47.7 13.0047000050836
"44" 28 33 51 55 57 61 42 30 57 30 36 2012-01-02 19:00:00 45.2 12.3089849748511
"45" 27 32 52 55 55 60 40 31 51 30 33 2012-01-02 20:00:00 43.9 11.8175951680346
"46" 27 32 52 53 51 60 39 30 51 28 32 2012-01-02 21:00:00 42.8 11.783227250819
"47" 24 32 51 52 50 60 37 29 50 27 32 2012-01-02 22:00:00 42 11.7945373419694
"48" 25 32 51 50 48 60 37 29 51 25 33 2012-01-02 23:00:00 41.6 11.7775681323061
"49" 27 32 50 49 48 60 35 29 50 26 35 2012-01-03 00:00:00 41.4 11.3352939480584
"50" 27 32 50 48 44 62 35 28 46 25 32 2012-01-03 01:00:00 40.2 11.6504649406508
